"country","SFTGcode","COW","risk_in_2021","risk_in_2021_22","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.ln.combined","coup.try.5yr"
"Ghana","GHA",452,0.007262,0.01122,0,0,1,0,0,0,0,4.15888308335967,17.2518480628445,5.82237065120386,0.414443468055197,1,1,0,0.67,0,1,4,2,4,0,1,1,0.93,0,0,0,0,0.51,4.26425727251674,0
"Mexico","MEX",70,0.006674,0.01015,0,0,0,0,0,0,0,5.29831736654804,18.6748015318311,3.4928498393146,-8.23947327731744,1,1,0,0.54,0,1,4,1,4,0,1,1,0.829,0,0,0,0,0.79,4.35647952299477,0
"Ukraine","UKR",369,0.006659,0.009798,0,0,0,0,1,0,0,3.40119738166216,17.6027567204816,2.68328157299975,-4.02031771396206,1,1,0,0.47,5.27811465923052,0,4,1,3,0,1,1,0.836,0,0,0,0,-0.571,4.371131868661,0
"Peru","PER",135,0.006429,0.01116,0,1,0,0,0,0,0,4.95582705760126,17.3111646037747,3.20936130717624,-11.1488118768393,1,1,0,0.66,0,1,4,1,4,0,1,1,0.937,0,0,0,1,0.97,3.7713053928123,0
"Haiti","HAI",41,0.00636,0.01138,0,1,0,0,0,0,0,5.37989735354046,16.249346081666,6.94262198308391,-3.37375049597422,0,1,1,0.1,0,1,4,1,4,0,1,1,0.804,0,0,0,1,-0.854,3.70169694506625,0
"Guatemala","GUA",90,0.006319,0.01004,0,1,0,0,0,0,0,5.2040066870768,16.6403556325774,4.54972526643093,-1.51932802919289,1,1,1,0.51,0,1,4,1,4,0,1,0,0.737,0,0,0,1,-0.021,3.73386774437762,0
"Zimbabwe","ZIM",552,0.006222,0.01304,0,1,1,0,0,0,0,3.71357206670431,16.5143805495937,6.19677335393187,-7.99999999999999,0,1,1,0.39,0,1,4,1,4,0,1,1,0.272,0,1,0,1,-0.771,3.41943907060193,1
"Comoros","COM",581,0.00615,0.008363,0,0,1,0,0,0,0,3.8286413964891,13.6757828650026,6.94982014155762,4.91077747534176,0,1,0,0,0,0,4,2,2,0,0,0,0.573,0,0,0,0,1.284,3.73946959712568,0
"Senegal","SEN",433,0.006002,0.009002,0,0,1,0,0,0,0,4.11087386417331,16.6335463624972,5.71839138219832,0.870408531926302,1,1,0,0.69,0,1,4,1,4,0,1,1,0.891,0,0,0,0,0.875,4.0828852624682,0
"Sri Lanka","SRI",780,0.005983,0.01104,0,1,0,0,0,0,1,3.89182029811063,16.9028643985655,2.46981780704569,-3.5690761372374,1,1,0,0.42,0,1,4,0,3,0,1,1,0.669,0,0,0,1,0.786,3.67689238998376,0
"Togo","TOG",461,0.005971,0.008535,0,0,1,0,0,0,0,4.11087386417331,15.9292009784947,6.76756972627545,1.75280074920752,1,1,0,0.71,0,0,4,2,4,0,1,1,0.368,0,0,0,0,1.047,3.96933213416014,0
"Rwanda","RWA",517,0.005875,0.01289,0,1,1,0,0,0,0,4.07753744390572,16.3767769107134,5.12835256198323,-3.35547212198846,0,1,1,0.32,4.90527477843843,1,3,0,2,1,1,1,0.171,0,1,0,1,-0.832,3.99532813175705,0
"Papua New Guinea","PNG",910,0.005828,0.009872,0,1,0,1,0,0,0,3.8286413964891,16.0068318562965,5.9916608715781,-3.878818537374,0,1,0,0.27,0,1,4,1,4,0,1,1,0.856,0,0,0,0,-0.189,-0.74876087893677,0
"Democratic Republic of Vietnam","VIE",816,0.005658,0.007909,0,1,0,1,0,0,0,3.80666248977032,18.3937060050415,3.98748040747538,2.9058355842084,0,1,1,0.24,0,1,0,2,2,0,1,1,0.564,0,0,0,1,1.444,5.34388208837946,0
"Equatorial Guinea","EQG",411,0.005522,0.007939,0,1,1,0,0,0,0,3.97029191355212,14.1541126676518,7.77174369109018,-4.89335647440198,1,1,1,0.35,0,1,2,1,3,0,0,0,0.253,0,1,0,1,-1.528,4.4973095433621,0
"Dominican Republic","DOM",42,0.005489,0.008685,0,1,0,0,0,0,0,5.04985600724954,16.1994824395656,4.84767985741633,-6.72023937283404,1,1,0,0.43,0,1,4,1,4,0,1,1,0.955,0,0,0,1,0.657,3.79084147385144,0
"Timor-Leste","ETM",860,0.005384,0.008339,0,0,0,1,0,0,0,2.94443897916644,14.091961294426,6.17251974480439,-8.70254848621823,0,1,0,0.9,0,1,4,1,4,0,0,0,0.883,0,1,0,0,0.633,4.42710732828152,0
"Argentina","ARG",160,0.005354,0.008191,0,1,0,0,0,0,0,5.32300997913841,17.630510703789,2.86356421265527,-9.90523485573888,1,1,0,0.26,0,1,4,1,4,0,1,1,0.956,0,0,0,0,1.669,3.41773414100063,0
"Gabon","GAB",481,0.00528,0.008771,0,0,1,0,0,0,0,4.11087386417331,14.6155946110784,5.57673739743948,-1.32393655297315,0,1,0,0.77,0,1,4,2,3,0,1,1,0.824,0,0,0,1,0.663,4.25701290684462,1
"Kyrgyzstan","KYR",703,0.005249,0.007762,0,0,0,0,0,0,1,3.40119738166216,15.7013066691187,4.04969134626332,-8.61655101811031,1,1,0,0.68,0,1,4,1,3,0,1,0,0.819,0,0,0,1,0.268,4.41896255331533,0
"Bahrain","BAH",692,0.0052,0.008659,0,0,0,0,0,1,0,3.91202300542815,14.3470695522212,2.42899156029822,-5.81468342829542,0,1,1,0.5,0,0,2,1,1,0,0,0,0.292,1,0,0,1,-2.092,4.95835442286462,0
"Turkmenistan","TKM",701,0.005097,0.006132,0,0,0,0,0,0,1,3.40119738166216,15.612454398419,6.02494813255683,0.065,1,1,1,0.39,0,1,0,1,1,0,0,0,0.134,0,1,0,1,-1.469,3.55990037364918,0
"Malaysia","MAL",820,0.004995,0.008119,0,0,0,1,0,0,0,4.15888308335967,17.2926189852657,2.70185121722126,-5.58774467806195,0,1,1,0.59,0,1,4,2,2,0,1,1,0.584,0,0,0,1,0.534,4.75792186211784,0
"El Salvador","SAL",92,0.004811,0.007192,0,1,0,0,0,0,0,5.19295685089021,15.6851875551935,3.37638860322683,-7.94398461326071,1,1,0,0.2,0,1,4,1,4,0,0,0,0.637,0,1,0,0,-0.527,4.24027618374287,0
